"X","score","gapscore"
2019-01-01,1,0.873727850799229
2019-01-02,0.591189669592524,0.729257217059591
2019-01-03,0.491954425032469,0.616869721191342
2019-01-04,0.66175024974402,0.760132619508853
2019-01-07,0.881866049664292,0.765241624332438
2019-01-08,0.901227002438786,0.757690533440745
2019-01-09,0.75541312997553,0.787598672256896
2019-01-10,0.627138875912086,0.571333687813091
2019-01-11,0.650800372946853,0.586758980553796
2019-01-14,0.338364064701645,0.28753410236052
2019-01-15,0.698425667056008,0.564123906863451
2019-01-16,0.559455556444314,0.66843496985089
2019-01-17,0.509118854167268,0.524683849481315
2019-01-18,0.449371930300275,0.451806585647687
2019-01-21,0.433059660501197,0.341626929264111
2019-01-22,0.0931263046213051,0.0642178164136445
2019-01-23,0.0668017224696412,0.501162728937994
2019-01-24,0,0.379336930531716
2019-01-25,0.693688777565662,0.687142256067549
2019-01-28,0.252412949676635,0.300538342424079
2019-01-29,0.201922845474569,0.142130726848858
2019-01-30,0.126170956989402,0.678504169111419
2019-01-31,0.121464168287924,0.511536531868141
2019-02-01,0.0881216213859249,0.366996415848976
2019-02-04,0.553454198617347,0.58982604861354
2019-02-05,0.367384112512304,0.314873727463204
2019-02-06,0.541533227965976,0.7298439863777
2019-02-07,0.451622287760031,0.603885701133617
2019-02-08,0.852286445307666,0.758121801067462
2019-02-11,0.489334634249807,0.459874093173876
2019-02-12,0.753332002219647,0.580723864979312
2019-02-13,0.873458108182934,0.801672347976172
2019-02-14,0.804147374253931,0.716926446995518
2019-02-15,0.905629430231427,0.775303863133479
2019-02-18,0.826786663429452,0.637383015872486
2019-02-19,0.803401691533993,0.580310511810033
2019-02-20,0.896493963536666,0.836778952453578
2019-02-21,0.857275087964614,0.794870571668646
2019-02-22,0.901814882214965,0.814354505284921
2019-02-25,0.784353400166356,0.696827977648622
2019-02-26,0.753395874076535,0.552164063354047
2019-02-27,0.708271733249364,0.794962589488142
2019-02-28,0.59984860925195,0.592197775900249
2019-03-01,0.656573509955025,0.745821893264078
2019-03-04,0.936774726590502,0.772402407426717
2019-03-05,0.801378386784798,0.612998728907323
2019-03-06,0.848117243687956,0.823744358980143
2019-03-07,0.853972462939055,0.753038885041877
2019-03-08,0.845006520304764,0.752717154914531
2019-03-11,0.75665980142942,0.651221271611534
2019-03-12,0.869590413359093,0.71694301365498
2019-03-13,0.89056280773973,0.838432308854912
2019-03-14,0.851483389726664,0.764780631466206
2019-03-15,0.769383912504288,0.685552545088672
2019-03-18,0.382900651706524,0.171536901189119
2019-03-19,0.757765185005568,0.50888839163041
2019-03-20,0.835218126170854,0.780477689832303
2019-03-21,0.607798416998272,0.639864091668781
2019-03-22,0.843117593103771,0.746822145966179
2019-03-25,0.539194811293989,0.466049850399048
2019-03-26,0.6295622899399,0.477574357062854
2019-03-27,0.578897519375539,0.761144367401794
2019-03-28,0.796113413484172,0.71007902227681
2019-03-29,0.665153187587519,0.632448959951126
2019-04-01,0.707625995429191,0.553557622156671
2019-04-02,0.688015837730118,0.462400684155595
2019-04-03,0.63122544267225,0.665427898720694
2019-04-04,0.751394634390464,0.682687541004634
2019-04-05,0.743622856961093,0.666229580554996
2019-04-08,0.768610612091189,0.580113247916947
2019-04-09,0.708701999639448,0.444580170331675
2019-04-10,0.518717339388892,0.5495303720812
2019-04-11,0.609562086045078,0.583052611110452
2019-04-12,0.823727174369724,0.751586688611726
2019-04-15,0.788068110524018,0.590025607590564
2019-04-16,0.699383902394628,0.458197950559318
2019-04-17,0.790971961658984,0.756292069457387
2019-04-18,0.867823864518906,0.786146011900988
2019-04-19,0.977002121028984,0.844151877534159
2019-04-22,0.942968135929382,0.760311467302472
2019-04-23,0.787591596553496,0.538156230387695
2019-04-24,0.940003573469024,0.811977998377315
2019-04-25,0.967339812575562,0.802271632694354
2019-04-26,0.96926686924584,0.823467385766141
2019-04-29,0.936421831089868,0.753381404038284
2019-04-30,0.929029775041448,0.713704062255768
2019-05-01,0.848802723022226,0.787331910142095
2019-05-02,0.885737272522057,0.75700123697357
2019-05-03,0.819088868457549,0.727674863852862
2019-05-06,0.847457138837272,0.707635050004335
2019-05-07,0.804300086147308,0.559570550082808
2019-05-08,0.959159827496664,0.814366685683077
2019-05-09,0.911515373742338,0.764205801682388
2019-05-10,0.918338970470538,0.778843157420716
2019-05-13,0.867307655872034,0.671200573912121
2019-05-14,0.868944717063669,0.627549642214587
2019-05-15,0.864016592153091,0.745157240415514
2019-05-16,0.85115687826506,0.749020445496633
2019-05-17,0.863857891723244,0.743557283391526
2019-05-20,0.78666973041305,0.585693600296865
2019-05-21,0.831475690566388,0.588740458244384
2019-05-22,0.857214993952791,0.779648138026501
2019-05-23,0.869322535380463,0.772720497839323
2019-05-24,0.855164028180119,0.762205886579722
2019-05-27,0.857228830889856,0.687142919142887
2019-05-28,0.848023926482897,0.601119334799069
2019-05-29,0.812701810024491,0.722940954842988
2019-05-30,0.802356807314046,0.679228331395787
2019-05-31,0.783186803895182,0.689778747713069
2019-06-03,0.826692886900263,0.624904898090008
2019-06-04,0.633507302386831,0.364900133033374
2019-06-05,0.78807036169335,0.729178745351695
2019-06-06,0.824587287676268,0.728257518644879
2019-06-07,0.807608921314317,0.720105477546819
2019-06-10,0.691526643034055,0.494827846609025
2019-06-11,0.810839092835001,0.554759054291228
2019-06-12,0.796403323194108,0.679619306117475
2019-06-13,0.562400267925676,0.51818862245251
2019-06-14,0.752701804923595,0.682272178818807
2019-06-17,0.947085025713439,0.74628370243254
2019-06-18,0.91070814604535,0.675243148383516
