"X","score","gapscore","Dgapscore","Dscore","Ngapscore","Nscore"
2019-01-01,1,0.873727850799229,0.804912020348106,0.930420993053892,0.660474561396174,1
2019-01-02,0.591189669592524,0.729257217059591,0.764616266391027,0.558409594417062,0.420166874938578,0.344256314195528
2019-01-03,0.491954425032469,0.616869721191342,0.620127221631797,0.436768522837925,0.284666371356971,0.192643069234455
2019-01-04,0.66175024974402,0.760132619508853,0.806961126246839,0.646950826467428,0.492723889661669,0.475239541262199
2019-01-07,0.881866049664292,0.765241624332438,0.937551486593628,0.908918010124453,0.757056880751767,0.91266142974974
2019-01-08,0.901227002438786,0.757690533440745,0.903317330049261,0.952968272306147,0.802309197491262,0.928451355769473
2019-01-09,0.75541312997553,0.787598672256896,0.98535459345916,0.824228541853721,0.813692917707176,0.769157862326869
2019-01-10,0.627138875912086,0.571333687813091,0.835496014909591,0.688478184375271,0.49694751735179,0.622083637877538
2019-01-11,0.650800372946853,0.586758980553796,0.808632473210902,0.679455380979061,0.544741231987551,0.667494297337321
2019-01-14,0.338364064701645,0.28753410236052,0.612519429269098,0.36404431827488,0.155585745370609,0.342382089479789
2019-01-15,0.698425667056008,0.564123906863451,0.685837277595732,0.701233933687822,0.595471587133448,0.719064521661706
2019-01-16,0.559455556444314,0.66843496985089,0.858666957421533,0.577063722291019,0.682604199368616,0.579513183135487
2019-01-17,0.509118854167268,0.524683849481315,0.862615967323321,0.623707389581259,0.430822422095764,0.483386789896466
2019-01-18,0.449371930300275,0.451806585647687,0.814790282196308,0.554219611338614,0.334434612798809,0.430462990405325
2019-01-21,0.433059660501197,0.341626929264111,0.691191207329129,0.514925731405204,0.225378319919109,0.42907575855809
2019-01-22,0.0931263046213051,0.0642178164136445,0.368541941952397,0.229190343216242,0.0529341095430159,0.0345686221309879
2019-01-23,0.0668017224696412,0.501162728937994,0.869298253296425,0.200577394052211,0.468123353345196,0.0157719947215208
2019-01-24,0,0.379336930531716,0.739138354755396,0.0697589440504278,0.350676873446032,0
2019-01-25,0.693688777565662,0.687142256067549,0.860421121736427,0.707126529110841,0.699605070022222,0.724626552477226
2019-01-28,0.252412949676635,0.300538342424079,0.726183695211803,0.349008640401877,0.141170974351977,0.237489922467118
2019-01-29,0.201922845474569,0.142130726848858,0.365148345602206,0.303237539170726,0.20884184840536,0.178289050621588
2019-01-30,0.126170956989402,0.678504169111419,0.990538798499139,0.243788862881323,0.720028240843287,0.0964226553157972
2019-01-31,0.121464168287924,0.511536531868141,0.868625299836927,0.220964018110901,0.476066711449063,0.100094888658841
2019-02-01,0.0881216213859249,0.366996415848976,0.758731612687447,0.214705579389815,0.320004840395874,0.0645926972707513
2019-02-04,0.553454198617347,0.58982604861354,0.843437384419849,0.581611013890347,0.535162454973855,0.57043624650062
2019-02-05,0.367384112512304,0.314873727463204,0.477880239614407,0.410494202470478,0.434292866879243,0.403727124238404
