"X","Dgapscore","Dscore","Ngapscore","Nscore"
"2019-01-07",0.937551486593628,0.908918010124453,0.757056880751767,0.91266142974974
"2019-01-08",0.903317330049261,0.952968272306147,0.802309197491262,0.928451355769473
"2019-01-09",0.98535459345916,0.824228541853721,0.813692917707176,0.769157862326869
"2019-01-10",0.835496014909591,0.688478184375271,0.49694751735179,0.622083637877538
"2019-01-11",0.808632473210902,0.679455380979061,0.544741231987551,0.667494297337321
"2019-01-14",0.612519429269098,0.36404431827488,0.155585745370609,0.342382089479789
"2019-01-15",0.685837277595732,0.701233933687822,0.595471587133448,0.719064521661706
"2019-01-16",0.858666957421533,0.577063722291019,0.682604199368616,0.579513183135487
"2019-01-17",0.862615967323321,0.623707389581259,0.430822422095764,0.483386789896466
"2019-01-18",0.814790282196308,0.554219611338614,0.334434612798809,0.430462990405325
"2019-01-21",0.691191207329129,0.514925731405204,0.225378319919109,0.42907575855809
"2019-01-22",0.368541941952397,0.229190343216242,0.0529341095430159,0.0345686221309879
"2019-01-23",0.869298253296425,0.200577394052211,0.468123353345196,0.0157719947215208
"2019-01-24",0.739138354755396,0.0697589440504278,0.350676873446032,0
"2019-01-25",0.860421121736427,0.707126529110841,0.699605070022222,0.724626552477226
"2019-01-28",0.726183695211803,0.349008640401877,0.141170974351977,0.237489922467118
"2019-01-29",0.365148345602206,0.303237539170726,0.20884184840536,0.178289050621588
"2019-01-30",0.990538798499139,0.243788862881323,0.720028240843287,0.0964226553157972
"2019-01-31",0.868625299836927,0.220964018110901,0.476066711449063,0.100094888658841
"2019-02-01",0.758731612687447,0.214705579389815,0.320004840395874,0.0645926972707513
"2019-02-04",0.843437384419849,0.581611013890347,0.535162454973855,0.57043624650062
"2019-02-05",0.477880239614407,0.410494202470478,0.434292866879243,0.403727124238404
"2019-02-06",0.876989739023042,0.537583155664634,0.802150070689874,0.580554831854706
"2019-02-07",0.807530308468529,0.459111876299172,0.633272153555331,0.487747344534277
"2019-02-08",0.908553342240046,0.875806349341443,0.795571242500537,0.895904532300752
"2019-02-11",0.763654127732642,0.530927777405309,0.346862653669587,0.490416766619657
"2019-02-12",0.717056128640766,0.786477201918699,0.623572946199897,0.774236992632837
"2019-02-13",0.947231329641878,0.903223453469074,0.831086303308436,0.902852133797886
"2019-02-14",0.885749448248129,0.82623102500189,0.709228057008807,0.82664403751387
"2019-02-15",0.935168341638265,0.9409219046171,0.791545171684694,0.939334529142162
"2019-02-18",0.812966193547987,0.860520206268848,0.627958017063637,0.85143273193412
"2019-02-19",0.693230292834111,0.822907179946367,0.64040549290561,0.838644080182085
"2019-02-20",0.961528325884491,0.917477145876799,0.884367873535363,0.931750354576583
"2019-02-21",0.931736438026257,0.866562070319184,0.806343609067,0.883655873026067
"2019-02-22",0.954383935608852,0.921204587349142,0.839516153204723,0.937435040331517
"2019-02-25",0.868590556059369,0.793635259579223,0.67110024944026,0.806234969558759
"2019-02-26",0.629688579438859,0.747083002747907,0.615595904573356,0.779407846673972
"2019-02-27",0.922411242058975,0.704358988928813,0.832926480618705,0.732171999709626
"2019-02-28",0.831462599418057,0.623901734614039,0.559778782940122,0.632366979552695
"2019-03-01",0.844086965331021,0.607051290889295,0.76936697396455,0.683014694438657
"2019-03-04",0.923395185479373,0.968419842597162,0.777344093439055,0.964346362854539
"2019-03-05",0.691196245508721,0.794180999566864,0.675571067396556,0.832713424744522
"2019-03-06",0.907898287694702,0.825531141118696,0.876961677979348,0.887247477549819
"2019-03-07",0.88789314506148,0.857019637145923,0.771006055483458,0.890928731277549
"2019-03-08",0.900957870088212,0.858834268657074,0.762632151761026,0.875681130248916
"2019-03-11",0.808534632420208,0.754083905791548,0.624387314608565,0.775060897175966
"2019-03-12",0.791323450818953,0.869760325002938,0.797020982572544,0.908731428529459
"2019-03-13",0.939014080147762,0.898341798976915,0.886406756576808,0.917711887052718
"2019-03-14",0.88498007648513,0.84131075400715,0.770806286893467,0.879384184252809
"2019-03-15",0.828934242392832,0.755165372047944,0.669088647083727,0.794643602308232
"2019-03-18",0.324266753806175,0.306702053470176,0.0559714460211347,0.368248474629424
"2019-03-19",0.561410970959511,0.708614212528923,0.535829802991775,0.781002007916917
"2019-03-20",0.863080985056844,0.796495858627422,0.793758053998142,0.860507846873451
"2019-03-21",0.777496467388095,0.556803942647538,0.600909398701971,0.621667606575597
"2019-03-22",0.892159381475482,0.849027372253447,0.76042517345133,0.881333004357647
"2019-03-25",0.659272616605815,0.529710930733897,0.416883565219283,0.551088870856862
"2019-03-26",0.569465495377865,0.627920280348499,0.553367231092841,0.65469644439288
"2019-03-27",0.888476384063094,0.555857034017633,0.801527200603015,0.6018542021179
"2019-03-28",0.876110483847667,0.799381102699408,0.686640654812521,0.821733811887326
"2019-03-29",0.809056030574241,0.635044984251556,0.585231890082079,0.695610669435995
"2019-04-29",0.898235853628421,0.967950535225086,0.774210394360862,0.971311547019435
"2019-04-30",0.811063660411066,0.94214772298089,0.768981189390295,0.967810575765629
"2019-05-01",0.922845868079129,0.851490061646121,0.808923290878115,0.886206774351506
"2019-05-02",0.916157194138456,0.90620235127832,0.763158180711122,0.923167283373308
"2019-05-03",0.916774710025238,0.846253477710325,0.723831750275663,0.857784808040522
"2019-05-06",0.852417025019221,0.855683170538552,0.684054874219722,0.860300915513288
"2019-05-07",0.692384808679584,0.826494490201909,0.613360308536048,0.850040617892967
"2019-05-08",0.967901459458073,1,0.845678356270573,1
"2019-05-09",0.940873966460687,0.952017781594756,0.767196626583974,0.9463643277728
"2019-05-10",0.957530937755488,0.959130461018842,0.771890457495247,0.947912789384522
"2019-05-13",0.769690768128046,0.842539263180032,0.69017444786316,0.908513390961503
"2019-05-14",0.676024678889817,0.821851061685781,0.679816313055006,0.916592961548424
"2019-05-15",0.822796834929319,0.801852312606401,0.767573255986597,0.920255693328028
"2019-05-16",0.903842412425524,0.852988301784265,0.742758683884565,0.888144801346996
"2019-05-17",0.912271797841172,0.87443177117225,0.717107138803587,0.892407647953814
"2019-05-20",0.679477513787725,0.736648167849662,0.596695849632697,0.83306997572477
"2019-05-21",0.678928748670772,0.81623250818167,0.628723168072307,0.870696892975742
"2019-05-22",0.90759926333629,0.84341063045,0.788256264168851,0.896561023274159
"2019-05-23",0.884229202367757,0.843240821113782,0.790780909965923,0.915818597393235
