"X","Dgapscore","Dscore","Ngapscore","Nscore"
"01/01/2019",0.804912020348106,0.930420993053892,0.660474561396174,1
"02/01/2019",0.764616266391027,0.558409594417062,0.420166874938578,0.344256314195528
"03/01/2019",0.620127221631797,0.436768522837925,0.284666371356971,0.192643069234455
"04/01/2019",0.806961126246839,0.646950826467428,0.492723889661669,0.475239541262199
"01/04/2019",0.591923538419206,0.710890136461586,0.27047159361372,0.557297859509676
"02/04/2019",0.421209752319961,0.684280263114665,0.254058222333319,0.549601534452362
"03/04/2019",0.681071417038706,0.601000556776324,0.436015170491534,0.479104626060611
"04/04/2019",0.764917324233575,0.764115900163941,0.416034676885039,0.639638479056319
"05/04/2019",0.768254263216234,0.762124868334603,0.392755626753777,0.637599449960615
"08/04/2019",0.595193180250514,0.758640571760054,0.34100898853554,0.685485699262365
"09/04/2019",0.445022900745089,0.719628118569427,0.201222926910711,0.576797050808876
"10/04/2019",0.629570339348834,0.492470051439646,0.236492517884091,0.31196879072818
"11/04/2019",0.746695253404541,0.645981025386789,0.213124949726337,0.390550266662955
"12/04/2019",0.849118113292397,0.849716539022375,0.489013210958443,0.737507503473749
"15/04/2019",0.653844140312512,0.81014585369215,0.318422244002249,0.68715332645832
"16/04/2019",0.409147513944973,0.685003841943693,0.269177947374999,0.595123004597607
"17/04/2019",0.879161746611182,0.825257050481916,0.49050393522472,0.694732600329741
"18/04/2019",0.911812703208214,0.910859562299929,0.528203463807157,0.808034990538801
"19/04/2019",0.897002686576576,0.984730650443741,0.618486728339771,0.974044948100982
"22/04/2019",0.792597521245461,0.948188852323398,0.531114235459844,0.921396294805091
"23/04/2019",0.561195624941202,0.811492641807874,0.326139618832271,0.712638440741789
"24/04/2019",0.896617148571852,0.962102413894667,0.57180529723835,0.921878478304597
"25/04/2019",0.881166170405094,0.995332093232173,0.593242171861776,0.984007907161615
"26/04/2019",0.900571684958423,1,0.62143234733538,0.981910464957165
"17/06/2019",0.829873395729254,0.990558248304708,0.541382773450439,0.953299321006962
"18/06/2019",0.727744269737998,0.949066401144362,0.493863878905206,0.911984432781118
"19/06/2019",0.856519959216221,0.825811100782307,0.504376913919296,0.757286258965456
"20/06/2019",0.894654768974874,0.911820489072648,0.510591642758715,0.825983222758498
"21/06/2019",0.890698768895059,0.840334593004911,0.448281252137583,0.705467250038968
"24/06/2019",0.539239014739979,0.700104102638973,0.307156284020937,0.648260314680763
"25/06/2019",0.2912223132928,0.588004307202993,0.0826019225101009,0.414239645286765
"26/06/2019",0.832179575731505,0.759582799586665,0.406460965475116,0.617160211158251
"27/06/2019",0.845595933928213,0.835133955202244,0.475866757648103,0.761300345282839
"28/06/2019",0.835759637200343,0.811084021155637,0.471668809438169,0.74490948210384
"01/07/2019",0.746018161733991,0.860358118990609,0.443189848206273,0.846205957582083
"02/07/2019",0.595123238828979,0.837300924157471,0.363562460586687,0.757048963207503
"03/07/2019",0.86272550762076,0.724637915758923,0.380296305297095,0.608051519310447
"04/07/2019",0.986710804993072,0.871042327612358,0.525869750946036,0.816431139176565
"05/07/2019",0.902785302828984,0.860008365478534,0.528902870612727,0.852940711236988
"08/07/2019",0.426171404635131,0.561186489392116,0.0748636811908604,0.376207461711557
"09/07/2019",0.283316202398051,0.588930229022223,0.202861083199719,0.547850626709382
"10/07/2019",0.507213692650928,0.350914861445443,0.278722210279043,0.356830233692569
"11/07/2019",0.428822460699421,0.296346988631928,0.292762809732784,0.386106981536825
"12/07/2019",0.600750101644975,0.499426361193995,0.381508719845381,0.547495683328627
"15/07/2019",0.19187520436529,0.359962143723797,0,0.276017261108891
"16/07/2019",0,0.361376798167256,0.0372773167388157,0.338579233615114
"17/07/2019",0.810253407169968,0.868129168424243,0.527071788170892,0.861008817384183
"18/07/2019",0.827443520485394,0.866031335136372,0.51697582483171,0.837419234761937
"19/07/2019",0.745121644729474,0.72088487523811,0.428195712583595,0.678631222807005
"22/07/2019",0.746814589306674,0.938128458528789,0.494631314510475,0.922177735816917
"23/07/2019",0.344730560312141,0.648002995518239,0.185089255121146,0.561669222142564
"24/07/2019",0.661072860964279,0.676335270365446,0.334400941051787,0.602538003680711
"25/07/2019",0.684743910699093,0.711624167657046,0.383371125690527,0.661275095381259
"26/07/2019",0.703142349485039,0.750072061215264,0.422176084803287,0.728790790722313
"29/07/2019",0.233162578291992,0.426685578327742,0.105478299707942,0.414591489328348
"30/07/2019",0.482570547452358,0.762001591701615,0.412083476368556,0.811183268911287
"31/07/2019",0.75245660117991,0.807119593637486,0.528333614156278,0.834143557204251
"01/08/2019",0.734935580881628,0.762319458684865,0.468855268014668,0.764202142963729
"02/08/2019",0.644029711683109,0.605028117308773,0.38760774138251,0.60861988014512
"05/08/2019",0.581428061641237,0.731486929918898,0.327480288573674,0.707030857766607
"06/08/2019",0.479111362006108,0.754155878994731,0.34939912087655,0.740503275786479
"07/08/2019",0.638289817258645,0.473394190721525,0.293224923809997,0.430353068878778
"08/08/2019",0.636517987179345,0.55892753216662,0.30369752453913,0.49121378444522
"09/08/2019",0.519932197647876,0.362586408141571,0.148372188654471,0.250565812588608
"12/08/2019",0.68305095404837,0.845304068033783,0.368466005938843,0.753089300035994
"13/08/2019",0.631150082570912,0.870103874601149,0.388012266774473,0.791035600566278
"14/08/2019",0.59336241007519,0.375781645350426,0.191813524259784,0.210024540597043
"15/08/2019",0.640177426774157,0.436933732757852,0.17791792977027,0.253619015114771
"16/08/2019",0.813887777192863,0.870089126680514,0.497420353296352,0.82954094790288
