,actual,day,night,occTotal,occDay,occNight,tem,ws,humid,sr,sim,simDay,simNight,intensity
2019-01-07,9163.266723096,4657.4940593,4505.772663796,1415.75,1009.5,406.25,9.61561866125761,3.23019294117647,78.9767441860465,14.130722559294,5615.28429688175,3367.83969112378,2247.44460575797,19.6875
2019-01-08,9459.35890625025,4711.7775024535,4747.58140379675,1443.75,1004.0,439.75,5.83115044247788,4.05188570758038,75.0529411764706,81.1896428571429,5153.65015981819,2232.65828143159,2920.99187838661,17.333333333333332
2019-01-09,9761.95652585275,4774.779628163,4987.17689768975,1461.25,997.25,464.0,3.32914572864322,2.14695785260184,80.7684478371501,38.7296010521701,7872.67883441434,3850.28214787792,4022.39668653642,29.479166666666668
2019-01-10,9582.93035377525,4587.76290981825,4995.167443957,1479.5,1016.0,463.5,5.51077348066298,2.93757308911589,89.0236220472441,8.17115068493151,4929.4623923024,2785.66086359212,2143.80152871027,41.395833333333336
2019-01-11,9265.455425027,4632.08477821425,4633.37064681275,1449.0,1034.5,414.5,6.95368956743003,2.22758191426894,85.0137614678899,15.9666193181818,4766.42533595955,2704.43429003768,2061.99104592188,40.645833333333336
2019-01-14,9252.54307630475,4633.7113931855,4618.83168311925,1552.5,1022.25,530.25,5.60792349726776,1.65768288373189,84.7076923076923,83.8051948051948,3885.52014946401,2359.89697650056,1525.62317296344,69.375
2019-01-15,9024.51031261725,4531.28988875825,4493.220423859,1500.75,1005.75,495.0,9.59615384615385,2.92058940707757,75.1754385964912,88.0410065237651,3730.56544662452,1657.91992094569,2072.64552567883,37.25
2019-01-16,9151.91979771625,4636.5151765465,4515.40462116975,1464.0,1001.75,462.25,6.40303514376997,2.93604115226337,80.4215938303342,47.2682432432432,6509.11346194331,3314.0175307654,3195.09593117791,49.625
2019-01-17,10249.8761362937,4822.051736538,5427.82439975575,1465.75,991.5,474.25,1.69222395023328,3.54810680751174,75.3661417322835,1.24701026694045,5667.0199643209,3059.76044012414,2607.25952419676,48.479166666666664
2019-01-18,9930.708704955,4769.10100406,5161.607700895,1448.5,1007.25,441.25,2.05826923076923,1.2570057762584,77.875,1.19339716902581,5065.07867303522,2877.45143691748,2187.62723611774,55.145833333333336
2019-01-21,10158.8504538917,4998.71769186,5160.13276203175,1477.5,1015.5,462.0,2.77638888888889,1.36761517615176,86.1396103896104,23.1834473197782,4041.96382411877,2407.19858092402,1634.76524319476,55.270833333333336
2019-01-22,10083.0741253418,4799.081673771,5283.99245157075,1482.25,1032.75,449.5,2.33044096728307,2.40729535267752,85.3455657492355,59.6679462571977,3989.76672675292,1595.34706520629,2394.41966154663,84.3125
2019-01-23,10294.768992605,4947.93326687525,5346.83572572975,1472.5,1029.0,443.5,2.05319693094629,1.94190324858757,75.7616822429907,1.53411464245176,7497.52161001895,3639.62740243425,3857.8942075847,84.75
2019-01-24,9683.408397941,4894.3190712505,4789.0893266905,1439.5,1008.0,431.5,2.56901408450704,1.2715627578079,87.1148936170213,80.9977647632992,6408.99452423036,3281.13026650742,3127.86425772294,95.95833333333333
2019-01-25,8685.57836924325,4469.94219135825,4215.636177885,1409.75,1006.5,403.25,7.30887978142076,3.56008694630478,89.5570776255708,87.0230082417582,5639.52553423782,2973.97016192897,2665.55537230885,39.166666666666664
2019-01-28,9914.50594626125,4879.39149147225,5035.114454789,1501.75,1021.5,480.25,2.29742198100407,2.85701890336973,68.4938524590164,1.74853499728703,4864.82718819812,2862.38995360416,2002.43723459396,72.10416666666667
2019-01-29,10171.1258785025,4975.04432358675,5196.08155491575,1463.75,1009.0,454.75,2.33260340632603,1.87507467952487,88.6057692307692,17.6696738529574,3937.47200112498,1419.6114180732,2517.86058305179,74.5
2019-01-30,10310.7890495442,5038.27440124675,5272.5146482975,1484.0,1021.5,462.5,1.83599033816425,2.03044624985282,80.6455696202532,1.93166543846721,8745.8233986126,4162.32454437109,4583.49885424151,79.72916666666667
2019-01-31,10556.7693718055,5203.65697778475,5353.11239402075,1469.0,1025.25,443.75,2.38358620689655,0.836311601947512,77.0453074433657,3.85717770034843,7611.10825728074,3841.90585387613,3769.20240340461,78.25
2019-02-01,10106.0074998502,4980.643646557,5125.36385329325,1450.5,1027.0,423.5,1.15606469002695,1.61354090641554,92.6,74.3310064603876,6296.98203508628,3159.79991826393,3137.18211682235,84.54166666666667
2019-02-04,9204.372520745,4639.55799258775,4564.81452815725,1497.25,1064.75,432.5,6.28793859649123,2.51192339325579,77.1942675159236,114.586091709687,5578.32330329459,3162.49169856291,2415.83160473168,49.895833333333336
2019-02-05,9820.4140621675,5118.9778205695,4701.436241598,1487.5,1034.0,453.5,2.87005928853755,1.30668826578699,92.2564102564103,49.7796731054978,4172.011187219,1630.44757179236,2541.56361542664,62.854166666666664
2019-02-06,9199.8117347675,4816.23580852775,4383.57592623975,1452.25,1041.0,411.25,6.74864864864865,1.30521728889412,79.9631728045326,97.5707434052758,7391.43614056479,3629.29058334281,3762.14555722198,51.020833333333336
2019-02-07,9365.34408832675,4880.0030367995,4485.34105152725,1506.75,1030.0,476.75,5.42947510094213,2.09196041470311,83.7594936708861,106.171761280932,6413.23049353689,3291.76642672145,3121.46406681544,58.270833333333336
2019-02-08,9288.95696237825,4971.83600041825,4317.12096196,1513.5,1029.5,484.0,7.18874841972187,2.67689079581521,78.005376344086,101.793924749741,5928.08895994467,3128.10991542816,2799.97904451651,22.125
